500	14.5914	17.2512	5.14242	8.19893
1000	45.2167	52.3827	17.0327	31.0806
1500	82.8846	104.376	38.488	66.8957
2000	134.844	176.601	64.4732	117.45
2500	189.853	254.541	96.2228	177.452
3000	269.452	365.903	147.497	269.099
3500	361.687	501.94	198.061	371.133
4000	413.244	570.129	228.574	438.717
4500	570.992	790.839	331.05	615.562
5000	626.591	914.426	375.606	742.865
5500	682.929	963.611	425.061	895.177
6000	752.775	1081.69	473.292	1056.29
6500	948.885	1321.18	574.421	1202.19
7000	1043.16	1466.79	652.563	1387.25
7500	1135.35	1654.8	744.422	1615.24
8000	1503.55	2160.98	965.806	1920.68
8500	1703.03	2403.11	1095.64	2175.16
9000	1723.36	2401.71	1111.22	2290.08
9500	1778.35	2561.23	1192.98	2621.26
10000	1763.26	2694.27	1285.8	2924.5
10500	2100.4	3045.22	1431.41	3101.39
11000	2357.06	3336.4	1571.74	3461.57
11500	2426.17	3477.31	1690.92	3815.19
12000	2521.26	3581.29	1753.41	4015.35
12500	2872.78	4170.02	2029.75	4515.17
13000	2990.36	4355.24	2072.13	4662.72
13500	3021.03	4586.67	2264.66	5336.89
14000	3460.44	5124.5	2582.27	5729.29
14500	3385.46	5032.19	2415.02	5629.67
15000	3762.29	5554.53	2844.3	6445.61
15500	3789.98	5701.01	2810.22	6606.9
16000	4114.54	6157.43	3179.66	7480.5
16500	4018.39	5875.88	3048.43	7535.74
17000	4193.19	6295.44	3265.96	7932.41
17500	4603.04	6901.12	3513.19	8408.3
18000	4836.39	7226.35	3617.89	8814.96
18500	5168.02	7766.68	3897.15	9331.01
19000	5428.01	8090.22	4121.4	10017
19500	5623.99	8513.43	4319.33	10408.2
20000	5924.89	8875.37	4544.05	10890.4
